Protein Set,norm(Weighted SC Z1),norm(Weighted SC Z2),norm(Weighted SC K1),norm(Weighted SC Z3),norm(Weighted SC Z4),norm(Weighted SC Z6),norm(Weighted SC Z5),norm(Weighted SC Z7),norm(Weighted SC K2),norm(Weighted SC K3),norm(Weighted SC K4),norm(Weighted SC K5)
ARP2_HUMAN,2.797595546969209,10.33514490667933,6.060441344158297,5.856884104773962,19.42803025600066,5.837121207884554,1.1553030362115297,11.807476931887498,7.876646895593828,11.493247741589455,9.186923580269031,6.1651844479826465
PPIB_HUMAN,9.797595546969209,13.33514490667933,9.060441344158297,4.856884104773962,17.42803025600066,9.837121207884554,9.15530303621153,11.807476931887498,18.876646895593826,3.493247741589455,5.186923580269031,8.165184447982647
CLH1_HUMAN,6.797595546969209,16.33514490667933,1.0604413441582974,2.856884104773962,8.42803025600066,1.8371212078845538,3.1553030362115297,6.807476931887498,0.8766468955938276,2.493247741589455,1.1869235802690312,4.1651844479826465
ARPC2_HUMAN,1.7975955469692089,1.3351449066793304,1.0604413441582974,2.856884104773962,-0.5719697439993388,2.837121207884554,0.15530303621152974,2.807476931887498,-0.12335310440617242,2.493247741589455,1.1869235802690312,0.16518444798264653
EF1A2_HUMAN,0.08850462866667286,-0.3921278124654908,1.278623162881976,0.2932477124189967,-5.099242504867411,1.9825757487332858,0.2825757613168154,-0.10161397449410892,-0.05062583398180642,3.5841568650101703,1.2960144896308705,0.3106389888313785
PTN6_HUMAN,1.7975955469692089,3.3351449066793304,2.0604413441582974,3.856884104773962,0.42803025600066125,1.8371212078845538,1.1553030362115297,6.807476931887498,0.8766468955938276,2.493247741589455,8.186923580269031,6.1651844479826465
HNRPU_HUMAN,1.7975955469692089,-0.6648550933206696,6.060441344158297,18.85688410477396,1.4280302560006612,1.8371212078845538,11.15530303621153,15.807476931887496,6.876646895593828,3.493247741589455,7.186923580269031,5.1651844479826465
PRDX1_HUMAN,4.819178150423799,5.35672751013392,5.564038603679782,6.871272666022741,5.43522477504363,5.3551070286548175,5.666094337938825,11.318268710451951,6.380244155115312,7.996845001110939,14.21570070276659,13.683170745590068
ML12A_HUMAN,4.797595546969209,24.33514490667933,16.060441344158296,13.856884104773961,16.42803025600066,12.837121207884554,13.15530303621153,21.807476931887496,11.876646895593828,19.493247741589453,8.186923580269031,12.165184447982647
RAC2_HUMAN,12.96607355905417,13.503622918764291,10.060441344158297,14.856884104773961,15.42803025600066,7.837121207884554,16.60095504426817,9.807476931887498,9.876646895593828,4.938899749646096,13.186923580269031,13.333662460067607
PDIA3_HUMAN,6.797595546969209,0.3351449066793304,5.060441344158297,6.856884104773962,19.42803025600066,8.837121207884554,2.1553030362115297,15.807476931887496,6.876646895593828,2.493247741589455,3.186923580269031,5.1651844479826465
RS3_HUMAN,8.797595546969209,4.33514490667933,5.060441344158297,9.856884104773961,14.42803025600066,1.8371212078845538,11.15530303621153,6.807476931887498,1.8766468955938276,2.493247741589455,5.186923580269031,5.1651844479826465
