Protein Set,K02,K04,K05,K07,K10,K12,K18,K20,K23,K24,K26,K27,K31,K32,K35,K41,K03,K06,K08,K09,K11,K13,K14,K15,K19,K22,K28,K29,K38,K40,K42,K43,K44,Z01,Z03,Z05,Z07,Z09,Z16,Z17,Z18,Z19,Z20,Z23,Z02,Z06,Z10,Z11,Z12,Z13,Z14,Z15,Z21,Z22,Z04,Z08,Z25
FBXO2,2.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,6.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,3.0,4.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,4.0,1.0,0.0,3.0,1.0,1.0
HLA-A,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ALOX5AP,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0
DIS3L2,4.0,5.0,5.0,7.0,5.0,4.0,5.0,5.0,4.0,3.0,6.0,7.0,5.0,6.0,5.0,6.0,5.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0,2.0,3.0,5.0,5.0,6.0
0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
MEAF6,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
POLR1B,2.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0
KRT17,5.0,6.0,6.0,5.0,5.0,3.0,4.0,4.0,7.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,6.0,2.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,6.0,4.0,4.0,3.0,3.0,5.0,7.0,7.0,7.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0
MPST,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0
HDGFL2,15.0,15.0,15.0,12.0,13.0,13.0,10.0,13.0,16.0,14.0,17.0,15.0,13.0,15.0,14.0,16.0,15.0,14.0,13.0,12.0,12.0,15.0,13.0,14.0,14.0,13.0,13.0,14.0,16.0,14.0,15.0,12.0,14.0,14.0,13.0,12.0,11.0,14.0,16.0,14.0,13.0,15.0,11.0,13.0,15.0,12.0,14.0,14.0,12.0,15.0,13.0,12.0,15.0,14.0,15.0,13.0,15.0
U2AF1,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,9.0,4.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CDK12,3.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,5.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,5.0,4.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0
FXR1,12.0,13.0,12.0,10.0,11.0,14.0,12.0,8.0,10.0,8.0,13.0,12.0,10.0,14.0,10.0,13.0,10.0,11.0,1.0,12.0,13.0,11.0,11.0,13.0,10.0,10.0,12.0,13.0,11.0,12.0,14.0,11.0,11.0,12.0,9.0,9.0,9.0,13.0,12.0,13.0,13.0,11.0,11.0,11.0,9.0,12.0,8.0,8.0,9.0,10.0,11.0,11.0,11.0,11.0,13.0,12.0,12.0
NUDCD1,9.0,9.0,10.0,9.0,7.0,8.0,8.0,2.0,4.0,8.0,7.0,7.0,6.0,5.0,5.0,9.0,9.0,8.0,3.0,7.0,8.0,8.0,7.0,8.0,4.0,8.0,5.0,11.0,6.0,10.0,10.0,7.0,6.0,11.0,5.0,7.0,8.0,10.0,8.0,8.0,9.0,8.0,3.0,5.0,8.0,8.0,5.0,3.0,7.0,10.0,9.0,9.0,8.0,8.0,11.0,10.0,9.0
AP1G2,9.0,7.0,7.0,7.0,8.0,8.0,7.0,4.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,8.0,8.0,9.0,3.0,7.0,8.0,7.0,8.0,9.0,4.0,7.0,8.0,6.0,8.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,5.0,7.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,7.0
CDKN2AIP,19.0,22.0,20.0,22.0,19.0,20.0,18.0,18.0,19.0,18.0,23.0,22.0,18.0,22.0,18.0,21.0,18.0,22.0,19.0,22.0,21.0,20.0,20.0,21.0,18.0,19.0,19.0,21.0,20.0,20.0,21.0,22.0,22.0,21.0,21.0,20.0,22.0,22.0,22.0,23.0,23.0,22.0,21.0,23.0,20.0,21.0,22.0,19.0,19.0,23.0,23.0,21.0,22.0,22.0,20.0,20.0,22.0
PTGES2,11.0,12.0,9.0,12.0,10.0,10.0,6.0,4.0,8.0,8.0,10.0,10.0,11.0,8.0,8.0,14.0,9.0,9.0,3.0,10.0,12.0,9.0,11.0,10.0,4.0,8.0,7.0,12.0,9.0,11.0,11.0,13.0,9.0,13.0,11.0,11.0,12.0,13.0,11.0,13.0,13.0,12.0,6.0,12.0,9.0,8.0,4.0,4.0,7.0,11.0,12.0,11.0,10.0,11.0,13.0,11.0,13.0
CELF2,16.0,16.0,16.0,18.0,16.0,17.0,17.0,16.0,16.0,16.0,18.0,18.0,16.0,16.0,17.0,17.0,16.0,18.0,13.0,16.0,16.0,15.0,16.0,17.0,16.0,17.0,15.0,17.0,17.0,18.0,17.0,18.0,16.0,18.0,17.0,18.0,18.0,18.0,18.0,17.0,17.0,18.0,16.0,17.0,17.0,17.0,17.0,16.0,18.0,17.0,17.0,16.0,17.0,17.0,18.0,17.0,16.0
0.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
SUMO2,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
MYH14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDC37,24.0,24.0,22.0,28.0,21.0,21.0,22.0,22.0,19.0,17.0,22.0,26.0,22.0,26.0,25.0,26.0,22.0,24.0,17.0,20.0,20.0,16.0,25.0,24.0,26.0,19.0,14.0,25.0,22.0,25.0,25.0,25.0,23.0,26.0,20.0,19.0,20.0,18.0,24.0,19.0,18.0,25.0,24.0,22.0,21.0,25.0,21.0,26.0,20.0,21.0,24.0,20.0,24.0,18.0,19.0,25.0,24.0
IPO9,5.0,6.0,5.0,6.0,5.0,5.0,5.0,0.0,1.0,2.0,6.0,2.0,6.0,3.0,3.0,6.0,2.0,4.0,1.0,5.0,4.0,3.0,5.0,7.0,1.0,1.0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,7.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0
LPXN,14.0,12.0,10.0,13.0,11.0,11.0,9.0,10.0,10.0,10.0,15.0,15.0,11.0,13.0,12.0,12.0,11.0,14.0,7.0,13.0,10.0,9.0,11.0,12.0,10.0,10.0,8.0,13.0,12.0,11.0,12.0,11.0,13.0,13.0,10.0,12.0,12.0,11.0,13.0,12.0,11.0,12.0,10.0,11.0,12.0,11.0,10.0,9.0,10.0,11.0,14.0,12.0,11.0,11.0,12.0,12.0,11.0
SMU1,17.0,17.0,18.0,16.0,15.0,17.0,17.0,13.0,13.0,12.0,17.0,17.0,15.0,16.0,16.0,17.0,16.0,17.0,6.0,19.0,16.0,14.0,16.0,17.0,9.0,14.0,12.0,18.0,16.0,16.0,20.0,19.0,18.0,20.0,16.0,17.0,18.0,18.0,18.0,18.0,19.0,16.0,16.0,18.0,18.0,16.0,12.0,13.0,13.0,15.0,17.0,19.0,18.0,17.0,18.0,18.0,18.0
POGZ,4.0,5.0,6.0,6.0,4.0,7.0,7.0,0.0,3.0,3.0,4.0,1.0,5.0,6.0,4.0,7.0,4.0,4.0,2.0,4.0,6.0,5.0,6.0,7.0,1.0,2.0,3.0,6.0,3.0,4.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,9.0,6.0,7.0,9.0,6.0,6.0,6.0,5.0,5.0,2.0,3.0,5.0,4.0,7.0,7.0,5.0,7.0,9.0,6.0,7.0
PRPSAP1,10.0,11.0,8.0,11.0,9.0,8.0,10.0,5.0,9.0,11.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,11.0,1.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,6.0,10.0,7.0,9.0,11.0,10.0,10.0,12.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,8.0,10.0,7.0,8.0,6.0,5.0,9.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0,11.0
OGA,12.0,12.0,11.0,13.0,11.0,13.0,9.0,7.0,8.0,8.0,12.0,12.0,11.0,12.0,10.0,11.0,9.0,11.0,4.0,13.0,11.0,11.0,14.0,12.0,10.0,11.0,9.0,12.0,11.0,11.0,13.0,12.0,14.0,8.0,12.0,12.0,14.0,14.0,12.0,13.0,12.0,15.0,9.0,11.0,10.0,8.0,9.0,6.0,10.0,9.0,13.0,13.0,10.0,13.0,12.0,11.0,14.0
GMPPA,10.0,9.0,7.0,11.0,8.0,9.0,10.0,8.0,6.0,8.0,9.0,11.0,9.0,8.0,8.0,10.0,7.0,10.0,3.0,9.0,10.0,9.0,10.0,8.0,5.0,9.0,6.0,7.0,11.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,9.0,8.0,10.0,8.0,4.0,5.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,9.0,9.0
HNRNPM,76.0,74.0,70.0,72.0,69.0,69.0,65.0,71.0,67.0,70.0,76.0,76.0,70.0,77.0,72.0,75.0,64.0,76.0,64.0,72.0,72.0,70.0,70.0,74.0,67.0,67.0,66.0,74.0,66.0,75.0,75.0,76.0,74.0,78.0,75.0,71.0,73.0,74.0,74.0,74.0,72.0,74.0,71.0,75.0,71.0,71.0,70.0,69.0,63.0,73.0,73.0,72.0,73.0,72.0,72.0,78.0,72.0
PNN,28.0,26.0,24.0,22.0,23.0,24.0,14.0,15.0,22.0,24.0,23.0,20.0,24.0,25.0,21.0,26.0,17.0,23.0,18.0,23.0,24.0,19.0,23.0,25.0,20.0,25.0,24.0,26.0,21.0,23.0,27.0,25.0,26.0,19.0,24.0,20.0,24.0,28.0,26.0,26.0,24.0,28.0,17.0,22.0,20.0,25.0,22.0,19.0,21.0,25.0,24.0,23.0,28.0,27.0,28.0,26.0,24.0
RPL23A,15.0,14.0,13.0,15.0,12.0,13.0,12.0,13.0,13.0,13.0,16.0,14.0,14.0,17.0,15.0,14.0,11.0,16.0,10.0,15.0,14.0,13.0,16.0,14.0,14.0,13.0,12.0,15.0,13.0,13.0,16.0,17.0,17.0,15.0,15.0,16.0,14.0,16.0,16.0,15.0,15.0,14.0,13.0,16.0,14.0,14.0,13.0,14.0,11.0,14.0,15.0,14.0,18.0,16.0,13.0,16.0,14.0
PPP6R1,18.0,18.0,14.0,15.0,16.0,16.0,13.0,9.0,12.0,11.0,17.0,15.0,18.0,16.0,16.0,18.0,17.0,19.0,8.0,19.0,21.0,14.0,18.0,19.0,10.0,14.0,11.0,19.0,17.0,19.0,20.0,17.0,18.0,16.0,15.0,16.0,16.0,19.0,16.0,19.0,18.0,19.0,14.0,15.0,17.0,13.0,9.0,10.0,11.0,15.0,16.0,19.0,15.0,15.0,18.0,17.0,16.0
HBB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
PPP3CC,5.0,6.0,4.0,5.0,4.0,6.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,1.0,4.0,5.0,5.0,5.0,1.0,6.0,6.0,5.0,5.0,6.0,2.0,4.0,5.0,5.0,6.0,4.0,6.0,4.0,6.0,6.0,5.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0,5.0,6.0,3.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0
SELENOO,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0
HNRNPH2,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,8.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
MTMR14,2.0,4.0,4.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,0.0,3.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0
PARK7,21.0,22.0,18.0,22.0,19.0,18.0,18.0,21.0,19.0,18.0,23.0,23.0,18.0,24.0,21.0,21.0,20.0,21.0,13.0,21.0,18.0,18.0,19.0,19.0,19.0,20.0,18.0,21.0,18.0,21.0,23.0,23.0,23.0,23.0,20.0,20.0,22.0,20.0,21.0,22.0,21.0,22.0,22.0,24.0,20.0,22.0,19.0,20.0,17.0,20.0,20.0,19.0,21.0,20.0,20.0,21.0,23.0
LAS1L,11.0,11.0,11.0,9.0,11.0,11.0,10.0,4.0,5.0,9.0,9.0,7.0,11.0,8.0,8.0,11.0,10.0,7.0,2.0,8.0,9.0,9.0,10.0,10.0,3.0,10.0,7.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,7.0,9.0,9.0,10.0,11.0,12.0,10.0,10.0,8.0,7.0,6.0,3.0,6.0,7.0,5.0,9.0,9.0,7.0,10.0,9.0,10.0,12.0
FLNC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RPS16,12.0,12.0,12.0,12.0,12.0,13.0,12.0,13.0,12.0,10.0,12.0,13.0,13.0,13.0,13.0,12.0,13.0,12.0,12.0,11.0,13.0,12.0,10.0,12.0,13.0,11.0,11.0,11.0,13.0,13.0,13.0,14.0,11.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,14.0,13.0,13.0,11.0,13.0,12.0,13.0,11.0,12.0,11.0,11.0,14.0,13.0,12.0,13.0,13.0
SZRD1,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0
ALOX5,8.0,9.0,12.0,10.0,6.0,7.0,13.0,8.0,7.0,6.0,11.0,13.0,9.0,5.0,5.0,9.0,11.0,13.0,3.0,10.0,9.0,5.0,6.0,8.0,3.0,11.0,9.0,8.0,10.0,10.0,6.0,7.0,5.0,8.0,6.0,7.0,9.0,4.0,6.0,11.0,10.0,7.0,5.0,7.0,12.0,7.0,4.0,1.0,9.0,8.0,8.0,8.0,6.0,10.0,4.0,2.0,6.0
TAGLN2,27.0,25.0,23.0,29.0,24.0,24.0,24.0,29.0,23.0,23.0,25.0,29.0,26.0,30.0,27.0,24.0,25.0,25.0,23.0,24.0,23.0,23.0,24.0,24.0,26.0,27.0,22.0,26.0,27.0,27.0,25.0,28.0,27.0,24.0,27.0,26.0,25.0,25.0,25.0,23.0,26.0,25.0,25.0,25.0,24.0,27.0,25.0,25.0,23.0,24.0,21.0,25.0,26.0,25.0,24.0,25.0,26.0
HEL-S-283,10.0,10.0,9.0,11.0,9.0,7.0,8.0,4.0,5.0,5.0,10.0,10.0,9.0,10.0,11.0,10.0,8.0,10.0,3.0,10.0,9.0,7.0,10.0,9.0,9.0,5.0,5.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,7.0,8.0,5.0,5.0,10.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0
ADD2,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ADD3,21.0,27.0,23.0,28.0,19.0,22.0,17.0,16.0,18.0,22.0,26.0,23.0,26.0,26.0,25.0,24.0,21.0,24.0,13.0,23.0,23.0,20.0,22.0,24.0,14.0,21.0,21.0,24.0,20.0,24.0,29.0,29.0,27.0,25.0,24.0,24.0,24.0,26.0,26.0,25.0,25.0,28.0,23.0,29.0,25.0,22.0,20.0,18.0,18.0,22.0,22.0,23.0,26.0,21.0,24.0,27.0,31.0
STAM,6.0,6.0,4.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,7.0,5.0,3.0,6.0,6.0,4.0,7.0,3.0,7.0,6.0,5.0,6.0,6.0,7.0,5.0,3.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,5.0,6.0,5.0,7.0,7.0,5.0,6.0,7.0,5.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,7.0,7.0,4.0,7.0,5.0,6.0
NTPCR,5.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0,7.0,2.0,5.0,4.0,4.0,7.0,4.0,7.0,7.0,1.0,7.0,4.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,9.0,8.0,6.0,6.0,7.0,6.0,6.0,1.0,4.0,3.0,6.0,7.0,7.0,7.0,7.0,5.0,8.0,6.0,6.0
MINK1,4.0,5.0,4.0,4.0,4.0,5.0,4.0,0.0,2.0,1.0,2.0,4.0,6.0,5.0,4.0,6.0,4.0,4.0,4.0,3.0,5.0,1.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,3.0,6.0,3.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,1.0,0.0,3.0,2.0,4.0,4.0,6.0,3.0,1.0,4.0,3.0
HLA-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GRAP,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0
RAB6A,11.0,10.0,10.0,12.0,9.0,12.0,11.0,9.0,8.0,9.0,12.0,11.0,9.0,11.0,11.0,12.0,9.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,12.0,12.0,10.0,9.0,9.0,11.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ZNF22,9.0,9.0,10.0,9.0,10.0,10.0,9.0,7.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,10.0,7.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,7.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0
0.0,2.0,5.0,5.0,3.0,3.0,5.0,1.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,0.0,3.0,3.0,3.0,4.0,3.0,0.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
COX6B1,10.0,11.0,8.0,9.0,10.0,8.0,8.0,10.0,7.0,9.0,11.0,11.0,7.0,11.0,11.0,7.0,8.0,10.0,8.0,8.0,9.0,7.0,9.0,8.0,8.0,8.0,6.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0
